Location of Insuarance: 33.0728N -117.5301W

Latitudes_traveled	longitudes_traveled
33.619	-118.3061
32.4953	-117.6368
33.1524	-117.0987
33.4385	-117.9531
33.7977	-117.7651
32.7373	-117.172
33.7127	-117.3093
34.0375	-117.2461
33.1451	-116.5526
33.7992	-117.1232
32.0744	-117.1134
32.6426	-116.8619
32.33	-117.8347
32.3644	-118.1685
32.432	-118.4993
32.9633	-117.7644
33.9092	-117.4885
33.4706	-118.3029
32.1568	-116.8268
33.9222	-118.0295
32.591	-117.8009
33.483	-118.2568
33.8294	-116.9706
33.59	-117.1158
32.7548	-118.2189
33.0258	-117.0888
33.7443	-118.2489
33.1975	-118.0535
32.2061	-116.8337
32.9982	-117.297
32.7852	-116.7806
33.3554	-116.9087
32.2816	-117.6189
32.6982	-118.1686
33.332	-118.4506
32.6043	-117.5866
33.5071	-118.0049
32.3226	-116.9811
32.4801	-117.6759
32.6746	-117.0185
33.3656	-116.7292
32.6421	-117.7381
33.1486	-118.4739
32.1558	-118.1714
32.0771	-116.6286
32.8176	-116.8905
33.7844	-117.1549
34.0015	-116.9947
33.5068	-116.739
32.5693	-116.5752
33.1827	-117.7069
32.4794	-116.8822
33.9772	-118.0923
33.2872	-118.3903
33.196	-117.427
33.1357	-117.3114
33.2841	-116.6705
33.312	-118.1861
32.9642	-116.7589
32.7475	-117.8792
32.6202	-118.3142
33.9141	-117.4797
32.3585	-117.871
32.1898	-118.2701
33.488	-117.0253
32.7219	-116.7968
32.402	-116.6922
34.0376	-117.3854
33.8701	-117.7566
32.2661	-118.1131
34.0342	-117.3478
33.4319	-118.2966
33.4992	-117.8575
32.5478	-116.6645
33.3926	-117.6702
32.9912	-117.7376
32.9434	-117.3754
32.3347	-117.6001
32.6241	-118.436
32.8219	-117.0344
33.3433	-118.3885
34.0314	-118.077
33.8259	-117.7571
33.7402	-117.8638
33.7303	-117.0312
32.8359	-116.9951
32.5053	-117.4802
32.7694	-118.1299
33.4067	-117.8621
33.1703	-118.1971
32.5331	-116.6666
32.459	-118.195
32.3065	-116.8803
33.1627	-118.4766
32.5274	-118.3889
33.0725	-118.2911
32.7555	-118.2369
32.5539	-116.9682
32.9609	-117.8833
33.9642	-117.9308
33.9416	-117.3347
32.8422	-117.1039
33.8757	-117.3007
32.9685	-117.4496
32.6764	-116.6364
33.2334	-117.216
34.0499	-117.0808
33.6314	-117.6206
32.9704	-116.7235
32.334	-116.9183
32.6239	-117.3156
32.9934	-116.5814
32.8783	-118.4962
33.0413	-118.2711
33.3425	-116.894
32.2227	-117.5654
33.1876	-117.9047
33.4388	-117.4159
32.4098	-117.1058
32.9185	-118.3185
33.7205	-116.9066
32.7504	-117.2131
32.9895	-116.7679
32.7348	-117.3444
32.9835	-117.034
33.9075	-117.3026
33.7548	-116.8484
33.7126	-117.6196
33.866	-117.7602
32.2047	-117.2045
33.0987	-116.8186
33.0677	-117.5829
32.7699	-116.7113
32.9115	-117.4758
33.2004	-117.2292
32.8547	-117.6684
34.0638	-116.6302
33.7157	-116.7515
32.4995	-118.0091
32.2173	-117.3806
32.2285	-118.4239
33.9338	-118.327
32.4075	-117.8726
32.1009	-118.1658
32.235	-117.8358
32.1806	-117.3489
33.7893	-117.4318
33.0881	-117.0389
32.1853	-117.8721
33.1843	-117.4903
32.236	-118.3167
33.8572	-118.1208
33.9213	-117.113
32.9183	-116.8668
32.9396	-118.146
33.2486	-118.2516
33.7303	-117.2705
32.1368	-117.2743
32.305	-118.4806
32.2015	-118.0016
32.8159	-118.0474
33.0593	-118.4342
33.98	-117.9123
33.9525	-118.3441
32.381	-117.2816
32.4383	-118.1981
32.4896	-118.0673
34.0359	-118.0292
32.4137	-117.9611
33.6943	-116.7772
33.6662	-118.2485
33.5084	-116.6211
33.4663	-117.9643
33.9993	-116.9634
33.1546	-117.452
33.7765	-118.0127
33.1803	-118.0504
33.3734	-117.0564
32.9409	-117.9781
33.8446	-118.0378
32.365	-116.984
32.9083	-118.4347
32.857	-117.4474
33.945	-116.9462
33.5901	-117.4131
33.7562	-117.2866
32.5491	-117.8785
32.4541	-116.5723
32.6328	-117.3365
33.9583	-117.9968
33.5132	-117.4574
34.05	-118.5101
32.2641	-116.9635
32.8134	-118.262
32.1423	-117.8941
32.531	-117.2358
32.996	-117.9534
32.6536	-117.9979
32.9596	-117.9593
33.7492	-118.2551
32.6614	-118.1571
32.6958	-116.6292
33.1875	-117.0813
32.5642	-117.5899
32.7653	-117.3154
33.2098	-116.8424
32.8904	-116.783
32.8159	-118.2438
33.2308	-116.7192
33.0143	-117.4385
32.2297	-118.0311
33.4976	-117.7593
33.2423	-118.5233
32.5721	-117.3453
32.1508	-117.5072
33.7476	-116.9612
32.1015	-118.5185
32.6618	-116.7661
33.1185	-116.559
33.2035	-117.1284
32.681	-117.0831
33.7093	-117.8525
32.3422	-117.8149
32.4433	-116.7813
32.0904	-117.9004
32.8174	-117.4608
33.6607	-117.3813
33.4568	-118.3778
32.5191	-117.426
33.2146	-117.1446
32.8878	-117.9683
32.0927	-117.4212
33.9194	-117.2542
33.1065	-117.5209
33.3944	-118.2795
33.981	-117.7049
33.7686	-118.1322
33.0319	-118.1672
33.555	-118.2112
32.786	-117.6713
32.0969	-117.2684
32.7032	-116.726
33.0203	-118.458
32.5857	-118.0138
32.6615	-117.3298
32.6666	-118.4609
32.6596	-118.399
33.4464	-117.2742
32.486	-118.4491
33.7325	-117.4055
33.1793	-116.9409
33.9479	-117.5837
33.2772	-118.4704
32.4185	-117.0122
32.1866	-116.5454
33.7946	-116.5345
33.5207	-117.1308
33.3654	-117.6953
32.9693	-118.1751
